#,0,1,2,3,4,5,6,1006,7,8,9,10,11,12,21,22,23,31,32,36,33,34,35,93,94,95,96,97,98,52001,52002,52003,52004,52005,52006,52007,99
0,呆物,1,9,0,0,0,0,0,0,0,50,30,20,20,0,0,0,0,0,0,0,0,0,8,25,25,28,55,1,0,0,0,0,0,0,1,头昏顶紧有何奇，腿脚花斑黑肚皮。\n翅上更有膏药积，只好将来去喂鸡。
1,绣花針,9,9,0,0,1,28,0,0,0,0,75,40,50,1,1,1,60,35,-10,0,0,60,-70,2025,18225,7,57,6,0,10,10,0,0,0,10,佳名唤作绣花針，口内锥儿毒気深。\n嘱咐诸虫回避好，交口不慎即伤身。
2,两头枪,9,9,0,0,1,28,0,0,0,30,95,110,110,7,13,7,20,8,15,0,0,80,-70,2025,18225,8,59,10,0,0,0,10,10,10,0,须無尾短最堪伤，虫大终须不是强。\n腿长爪利还倒插，闻名尽说两头枪。
3,吹铃,9,9,0,0,1,28,0,0,0,-20,150,80,70,22,5,6,40,5,0,0,0,40,-70,2025,18225,9,55,7,10,0,10,0,0,10,0,叮叮两翅如銅铃，交口声扬似摄魂。\n吹铃不须论颜色，管叫百战百场赢。
4,跑马黄,9,9,0,0,1,28,0,0,0,50,105,140,150,4,7,4,55,5,-5,55,10,100,-70,2025,18225,10,59,12,0,10,0,10,0,0,10,淡金将军腿脚快，奔行异常把风带。\n满盆飞窜如跑马，自然名扬千里外。
5,玉锄头,9,9,0,0,1,14,0,0,0,60,120,120,120,9,12,13,25,10,10,30,8,35,-80,2025,18225,11,55,10,10,0,10,0,0,0,10,嘉名最是玉锄头，白肉乌牙孰与俦。\n面黑更兼头脚大，定然得胜遍三秋。
6,披袍轩甲,9,9,0,0,1,14,0,0,0,90,110,280,200,6,6,6,0,0,20,80,5,50,-80,2025,18225,12,58,15,10,0,0,0,10,10,0,一身披袍似将军，翅梢尖削夹口重。\n包扎紧密更耐战，横扫常虫可称雄。
7,反生名,9,9,0,0,1,14,0,0,0,35,100,90,90,7,11,9,65,12,-15,0,0,75,-80,2025,18225,13,57,9,0,10,0,10,10,0,0,金银相交龙驹步，虎额悬丝细透明。\n性烈如火挡不住，来虫见面胆志無。
8,朱砂额,9,9,0,0,1,14,0,0,0,55,110,140,100,8,9,13,30,18,0,30,8,30,-80,2025,18225,14,55,10,0,0,15,15,0,0,0,朱额青顶翅金黄，肉腿如同白雪装。\n更喜双钳黑如漆，诸虫一见魂胆丧。
9,头陀,9,9,0,0,1,7,0,0,0,75,0,180,160,6,16,10,20,10,10,45,18,35,-90,2025,18225,15,56,12,15,0,0,0,0,0,15,乌头無路一片光，额中一线如银装。\n不论青黄与赤白，项阔身长促织王。
10,鉄弹子,9,9,0,0,1,7,0,0,0,80,90,170,170,5,24,8,0,0,30,35,10,55,-90,2025,18225,16,56,10,0,0,0,0,15,15,0,镔鉄熔成弹子形，满头漆黑没分星。\n牙钳牙肉生来白，共骇将军目未経。
11,赤须,9,9,0,0,1,7,0,0,0,70,130,190,130,8,10,10,35,18,5,30,8,40,-90,2025,18225,17,60,10,0,15,0,15,0,0,0,双须纯赤饶精神，青头青项青满身。\n须号棕丝长过尾，玉柱牙钳白似银。
12,玉尾,9,9,0,0,1,7,0,0,0,45,105,90,90,4,3,24,40,24,0,0,0,30,-90,2025,18225,18,58,8,0,15,15,0,0,0,0,头圆身紫颈项阔，腿脚圆长腰厚实。\n赤牙将军威名赫，只因双尾似雪白。
13,油纸灯,9,9,0,0,1,6,3,0,0,75,135,180,120,8,15,15,25,8,10,60,8,55,-100,2025,18225,19,59,12,15,0,0,0,0,15,0,头圆腿壮遍身黄，翅滑如油肉带苍。\n牙钳一对红如血，此物虫中是霸王。
14,真三色,9,9,0,0,1,6,3,0,0,85,145,220,180,13,10,12,20,10,0,45,10,30,-100,2025,18225,20,60,12,0,0,0,0,15,0,15,紫头青项有毛长，金翅生来肉带苍。\n两腿圆长班白色，红牙一对無人当。
15,草三段,9,9,0,0,1,6,3,0,0,65,130,150,200,10,9,11,45,14,0,25,15,45,-100,2025,18225,21,57,10,0,30,0,0,0,0,0,满头白粉紫葡萄，并無纹理象青毛。\n更兼淡薄轻银翅，三段之名亦似高。
16,真紫黄,9,9,0,0,1,6,2,0,0,60,150,160,190,11,12,10,25,20,20,20,20,35,-100,2025,18225,22,59,12,0,0,0,0,0,30,0,变化将军色不同，金黄五体造神工。\n爪须猩赤钳如血，原是蜈蚣所变虫。
17,梅花翅,9,9,0,0,1,5,2,0,0,0,160,90,140,24,1,14,70,10,-20,0,0,70,-110,2025,18225,23,55,7,0,0,30,0,0,0,0,形体天生似蜘蛛，背上梅花两片铺。\n腿脚圆长肚如玉，黑牙一副世上無。
18,天蓝青,9,9,0,0,1,4,2,0,0,80,155,290,290,12,11,13,35,15,0,35,15,35,-120,2025,18225,24,60,15,0,0,0,0,30,0,0,非青非黑复非黄，闪烁不定似天光。\n晨暮陰晴無定色，千秋难遇此虫王。
19,三段锦,9,9,0,0,1,3,1,0,0,55,145,150,150,20,20,20,50,20,0,30,10,40,-130,2025,18225,25,55,10,30,0,0,0,0,0,0,麻头青项翅销金，体白牙长六足明。\n更有异常腰背阔，蜀川三段锦花名。
20,三太子,9,9,0,0,1,2,1,0,0,70,125,80,460,8,7,9,75,1,15,75,50,75,-140,2025,18225,26,57,9,0,0,0,30,0,0,0,项红如火挂红绫，身披五色踏朱星。\n须尾金黄如枪立，三坛無敌鬼神惊。
21,八败,9,9,0,0,1,1,1,0,0,100,110,180,800,1,1,1,95,1,-55,95,25,800,-150,2025,18225,27,56,12,0,0,0,0,0,0,30,此虫混身皆败相，万中無一真荒唐。\n这般丑陋休轻弃，八败俱全是虫王。
101,真青,8,9,0,0,0,1,0,1,0,80,125,200,150,9,10,11,15,5,15,35,10,50,-80,1600,12800,1,60,10,0,0,0,0,20,0,0,青色头如菩提子，顶上毛青靛染成。\n牙铃更得芝麻白，任君斗尽足欢情。
