#,0,1,12,99,2,3,7,11,8,9,10,5,4,6,101,102,103,201,202,203,301,302,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,995,996,997,998,999,994
1,促织高鸣,1&1,16,此处万籁俱寂，偶尔传出几声促织的鸣叫，所谓“虫王出，百里肃”，有虫王的地方，通常方圆数十里内不闻雑音，或许能在此处捕捉到珍稀的促织。,1,1,1,1,516|516|516|516|516,0,0,0&0,-1,0,-1,-1,-1,99,-1,-1,0,1031,1013,1013,1013,1013,1013,1013,1001,1015,1019,1005,1007,1003,1009,1011,1017,1027,0&0,0&0,0,7,1001|1001|1001|1002,0
2,静谧竹庐,0&0,6,竹庐内外一片寂静，没有半点声响，通往竹庐的小径铺满落叶，似乎已许久没有人从这里走过。,0,1,1,1,505|505|505|505|505,0,0,0&0,-1,0,-1,-1,-1,-1,-1,-1,1034,1035,1013,1013,1013,1013,1013,1013,1001,1015,1023,1005,1007,1003,1009,1011,1017,1027,0&0,0&0,0,2|3|4|5|6,0,0
3,深谷出口,0&0,14,此地并無太多特异之处，只在东、南、西、北四角各有黑、白、青、黄四块隐于草木之中的巨石，若無人指引，极难发现，正是義父所绘地图中出谷的道路所在。,1,1,1,1,505|505|505|505|505,0,0,0&0,-1,0,-1,-1,-1,-1,-1,-1,0,1049,1013,1013,1013,1013,1013,1013,1001,1015,1019,1005,1007,1003,1009,1011,1017,1027,0&0,0&0,0,2|3|4|5|6,1001|1001|1001|1002,0
4,英雄猴杰,11&3,2,一只强壮的猿猴在此占地为王，谷中大多数的猿猴现下都已聚集在它的身边，它们除了整日喧闹不休，还时常在竹庐附近捣乱……,1,1,1,5,516|516|516|516|516,1,0,0&0,6,1,0|50,-1,-1,-1,-1,-1,0,1061,1013,1013,1013,1013,1013,1013,1001,1015,1019,1005,1007,1003,1009,1011,1017,1027,0&0,0&0,0,2|3|4|5|6,1002,0
5,古墓仙人,0&0,18,此处有一座年代久远的古墓，或许便是传说中那位“古墓仙人”的所在……,0,1,1,1,505|505|505|505|505,1,0,0&0,-1,0,-1,-1,-1,-1,-1,-1,1072,1073,1013,1013,1013,1013,1013,1013,1001,1015,1023,1005,1007,1003,1009,1011,1017,1027,0&0,0&0,0,2|3|4|5|6,0,0
6,大片血迹,10&1|7&1|0&1,2,大片血迹泼洒在此地的附近，不远处正有数人朝这边搜索过来……,2,1,1,1,509|516|509|516|509,1,0,0&0,3,1,4|50,-1,-1,-1,-1,-1,0,1208,1013,1013,1013,1013,1013,1013,1001,1015,1025,1005,1007,1003,1009,1011,1017,1027,0&0,0&0,0,2|3|4|5|6,0,0
7,大片血迹,10&1|7&1|0&1,2,大片血迹泼洒在此地的附近，不远处正有数人朝这边搜索过来……,2,1,1,1,509|516|509|516|509,1,0,0&0,3,1,4|50,-1,-1,-1,-1,-1,0,1209,1013,1013,1013,1013,1013,1013,1001,1015,1025,1005,1007,1003,1009,1011,1017,1027,0&0,0&0,0,2|3|4|5|6,0,0
8,大片血迹,10&1|7&1|0&1,2,大片血迹泼洒在此地的附近，不远处正有数人朝这边搜索过来……,2,1,1,1,509|516|509|516|509,1,0,0&0,3,1,4|50,-1,-1,-1,-1,-1,0,1210,1013,1013,1013,1013,1013,1013,1001,1015,1025,1005,1007,1003,1009,1011,1017,1027,0&0,0&0,0,2|3|4|5|6,0,0
9,七元符图,-1&2,16,義父曾提起过的符图，因对应人之七种赋性：聪颖、细腻、冷静、勇壮、坚毅、水性、福缘，故名七元符图。观望此符图有增长历练，引发感悟之用。,1,1,1,1,505|505|505|505|505,0,0,0&0,-1,0,-1,-1,-1,-1,-1,-1,1315,1316,1013,1013,1013,1013,1013,1013,1001,1015,1019,1005,1007,1003,1009,1011,1017,1027,0&0,0&0,0,2|3|4|5|6,1001|1001|1001|1002,0
101,恶丐窝,7&1|16&2,6,一伙恶丐群聚于此地，他们不仅时常骚扰附近的百姓与旅人，还向周边散播着恶毒与疾病……,1,1,1,10,510|516|510|516|510,1,1,3101&5|3102&4|3103&2|3104&1|3105&0,-1,1,-1,-1,-1,-1,-1,-1,0,2001,1013,1013,1013,1013,1013,1013,1001,1015,1019,1005,1007,1003,1009,1011,1017,1027,0&0,0&0,1,1|2|3|4|5|6,2001,4001
