#,999,0,1,2,11,3,4,5,6,7,15,16,17,8,9,10,12,13,14,101,102,103,104,105,106,107,108,109,110
0,0,無門無派,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0
1,1,少林派,0,1,0,0,0,1,20,1,1,1,-1,2|3|4|5|16,0|1|2|3|4|9,0,0,250,0,0,0,0,0,0,0,0,0,0,1
2,2,峨眉派,1,1,0,0,0,0,60,0,0,0,10,0,0|1|2|3|4|7|10,0,0,250,1,0,0,0,0,0,0,0,0,0,2
3,3,百花谷,1,1,0,0,0,0,80,0,0,4,4,0,0|1|2|4|12|13,0,0,250,0,0,0,0,0,0,0,0,0,0,3
4,4,武当派,0,1,0,0,0,0,60,0,0,2,7,0,0|1|2|3|7|11,0,0,500,0,0,0,0,0,0,0,0,0,0,4
5,5,元山派,0,1,0,0,0,0,50,1,0,0,5,0,0|1|2|5|7|8,0,0,0,0,0,0,0,0,0,0,0,0,0,5
6,6,獅相門,0,1,0,0,0,0,90,0,0,3,9,0,0|1|2|3|8|9,0,0,750,1,0,0,0,0,0,0,0,0,0,6
7,7,然山派,1,1,0,0,0,0,60,1,0,1,1,0,0|1|2|4|7|10,0,0,500,0,0,0,0,0,0,0,0,0,0,7
8,8,璇女派,1,1,0,0,0,2,10,0,0,6,13,6|7|9|10|16,0|1|2|3|4|13,0,0,0,0,0,0,0,0,0,0,0,0,0,8
9,9,铸剣山庄,0,1,0,0,0,0,30,0,0,5,12,0,0|1|2|7|8|9|12,0,0,500,1,0,0,0,0,0,0,0,0,0,9
10,10,空桑派,1,1,0,0,0,0,20,0,1,4,2,0,0|1|2|3|4|5|6,0,0,1000,0,0,0,0,0,0,0,0,0,0,10
11,11,金剛宗,1,1,0,0,0,0,10,0,0,3,8,12|13|14|15|16,0|1|2|3|8|10,0,0,1000,0,0,0,0,0,0,0,0,0,0,11
12,12,五仙教,1,1,0,0,0,0,40,0,0,2,11,1|2|3|4|5|6|7|8|9|10|11|13|14|15|16,0|1|2|3|4|7|11,0,0,750,1,0,0,0,0,0,0,0,0,0,12
13,13,界青門,1,1,0,0,0,0,10,1,0,6,6,0,0|1|2|4|6|7,0,0,750,0,0,0,0,0,0,0,0,0,0,13
14,14,伏竜壇,0,1,0,0,0,0,50,0,0,5,3,0,0|1|2|3|6|8,0,0,0,1,0,0,0,0,0,0,0,0,0,14
15,15,血犼教,1,1,0,0,0,0,10,0,0,0,0,0,0|1|2|3|4|5|6,0,0,1000,1,0,0,0,0,0,0,0,0,0,15
16,16,太吾村,0,0,0,0,0,0,100,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,16
17,17,外道,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,17
18,18,任侠,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,18
19,19,相枢爪牙,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,19
101,101,京城,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,99
102,102,成都,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,99
103,103,桂州,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,99
104,104,襄陽,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,99
105,105,太原,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,99
106,106,広州,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,99
107,107,青州,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,99
108,108,江陵,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,99
109,109,福州,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,99
110,110,遼陽,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,99
111,111,秦州,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,99
112,112,大理,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,99
113,113,寿春,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,99
114,114,杭州,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,99
115,115,揚州,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,99
1001,1001,村庄,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,101
1002,1002,市镇,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,102
1003,1003,山寨,1,0,0,0,0,0,100,0,0,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,103
