#,0,1,2,3,4,5,6,7,8,9,10,11
50061,筋力,1,,20004,20010,0,0,0,1,1,,0
50062,体幹,1,,20004,20010,0,0,0,1,1,,0
50063,俊敏,1,,20004,20010,0,0,0,1,1,,0
50064,体質,1,,20004,20010,0,0,0,1,1,,0
50065,悟性,1,,20004,20010,0,0,0,1,1,,0
50066,定力,1,,20004,20010,0,0,0,1,1,,0
50015,魅力,1,,20004,20010,0,0,0,1,1,,0
51361,筋力,1,%,20004,20010,0,50061,0,1,1,筋力,0
51362,体幹,1,%,20004,20010,0,50062,0,1,1,体幹,0
51363,俊敏,1,%,20004,20010,0,50063,0,1,1,俊敏,0
51364,体質,1,%,20004,20010,0,50064,0,1,1,体質,0
51365,悟性,1,%,20004,20010,0,50065,0,1,1,悟性,0
51366,定力,1,%,20004,20010,0,50066,0,1,1,定力,0
50071,力道,1,,20004,20010,0,0,1,1,0,,0
50072,精妙,1,,20004,20010,0,0,1,1,0,,0
50073,迅疾,1,,20004,20010,0,0,1,1,0,,0
50092,力道,1,%,20004,20010,0,50071,1,1,1,力道,0
50093,精妙,1,%,20004,20010,0,50072,1,1,1,精妙,0
50094,迅疾,1,%,20004,20010,0,50073,1,1,1,迅疾,0
50081,護体,1,,20004,20010,0,0,1,1,1,,0
50082,御気,1,,20004,20010,0,0,1,1,1,,0
50084,卸力,1,,20004,20010,0,0,1,1,1,,0
50085,応変,1,,20004,20010,0,0,1,1,1,,0
50086,回避,1,,20004,20010,0,0,1,1,1,,0
50083,内息,1,,20004,20010,0,0,1,1,1,,0
51367,護体,1,%,20004,20010,0,50081,1,1,1,護体,0
51368,御気,1,%,20004,20010,0,50082,1,1,1,御気,0
51370,卸力,1,%,20004,20010,0,50084,1,1,1,卸力,0
51371,応変,1,%,20004,20010,0,50085,1,1,1,応変,0
51372,回避,1,%,20004,20010,0,50086,1,1,1,回避,0
51369,内息,1,%,20004,20010,0,50083,1,1,1,内息,0
50501,音律,1,,20004,20010,0,0,0,1,1,,0
50502,囲碁,1,,20004,20010,0,0,0,1,1,,0
50503,詩書,1,,20004,20010,0,0,0,1,1,,0
50504,絵画,1,,20004,20010,0,0,0,1,1,,0
50505,術数,1,,20004,20010,0,0,0,1,1,,0
50506,品評,1,,20004,20010,0,0,0,1,1,,0
50507,鍛冶,1,,20004,20010,0,0,0,1,1,,0
50508,木工,1,,20004,20010,0,0,0,1,1,,0
50509,医術,1,,20004,20010,0,0,0,1,1,,0
50510,毒術,1,,20004,20010,0,0,0,1,1,,0
50511,織物,1,,20004,20010,0,0,0,1,1,,0
50512,細工,1,,20004,20010,0,0,0,1,1,,0
50513,道法,1,,20004,20010,0,0,0,1,1,,0
50514,仏教,1,,20004,20010,0,0,0,1,1,,0
50515,料理,1,,20004,20010,0,0,0,1,1,,0
50516,雑学,1,,20004,20010,0,0,0,1,1,,0
50601,内功,1,,20004,20010,0,0,0,1,1,,0
50602,身法,1,,20004,20010,0,0,0,1,1,,0
50603,絶技,1,,20004,20010,0,0,0,1,1,,0
50604,拳掌,1,,20004,20010,0,0,0,1,1,,0
50605,指法,1,,20004,20010,0,0,0,1,1,,0
50606,脚法,1,,20004,20010,0,0,0,1,1,,0
50607,暗器,1,,20004,20010,0,0,0,1,1,,0
50608,剣法,1,,20004,20010,0,0,0,1,1,,0
50609,刀法,1,,20004,20010,0,0,0,1,1,,0
50610,槍術,1,,20004,20010,0,0,0,1,1,,0
50611,奇門,1,,20004,20010,0,0,0,1,1,,0
50612,柔兵,1,,20004,20010,0,0,0,1,1,,0
50613,弓射,1,,20004,20010,0,0,0,1,1,,0
50614,楽器,1,,20004,20010,0,0,0,1,1,,0
50013,健康上限,1,,20004,20010,0,0,0,0,1,,0
50032,外傷上限,1,,20004,20010,0,0,1,1,1,,0
50033,内傷上限,1,,20004,20010,0,0,1,1,1,,0
50095,造成外伤,1,%,20004,20010,0,0,1,1,1,,0
50096,造成内伤,1,%,20004,20010,0,0,1,1,1,,0
50097,破体強度,1,%,20004,20010,0,0,1,1,1,,0
50098,破気強度,1,%,20004,20010,0,0,1,1,1,,0
51104,架勢消耗,1,%,20010,20004,0,0,1,1,1,,0
51103,提気消耗,1,%,20010,20004,0,0,1,1,1,,0
50022,守備效率,1,%,20004,20010,0,0,1,1,1,,0
50023,療養效率,1,%,20004,20010,0,0,1,1,1,,0
51110,解毒效率,1,%,20004,20010,0,0,1,1,1,,0
51105,内功発揮,1,%,20008,20008,0,0,1,1,1,,0
51106,施展速度,1,%,20004,20010,0,0,1,1,1,,0
51107,攻撃速度,1,%,20004,20010,0,0,1,1,1,,0
51108,武器切換,1,%,20004,20010,0,0,1,1,1,,0
51109,移動速度,100,,20004,20010,0,0,1,1,1,,0
51111,移動距離,100,,20004,20010,0,0,1,1,1,,0
51102,架勢速度,100,,20004,20010,0,0,1,1,1,,0
51101,提気速度,100,,20004,20010,0,0,1,1,1,,0
50041,烈毒抵抗,1,,20004,20010,0,50042|50043|50044|50045|50046,1,1,1,全毒素抵抗,1
50042,郁毒抵抗,1,,20004,20010,0,0,1,1,1,,0
50043,寒毒抵抗,1,,20004,20010,0,0,1,1,1,,0
50044,赤毒抵抗,1,,20004,20010,0,0,1,1,1,,0
50045,腐毒抵抗,1,,20004,20010,0,0,1,1,1,,0
