#,0,1,2,3,4,5,6,7,8
1,结交良善,1,12,1,100,1,2,0,6
2,结交奸恶,-1,12,1,100,0,0,0,24
3,良谊高义,3,12,1,10,3,4,0,6
4,狼狈为奸,-5,12,1,10,0,0,0,24
5,佳人才子,3,12,1,10,5,6,0,6
6,败德辱行,-5,12,1,10,0,0,0,24
7,救抚良善,3,60,0,10,7,8,0,20
8,藏污纳垢,-5,60,0,10,0,0,0,40
9,寄身善賢,5,120,0,5,9,10,0,20
10,认贼为亲,-10,120,0,5,0,0,0,40
11,乐善好施,2,6,1,20,11,12,11,3
12,襄助恶人,-2,6,1,20,0,0,0,12
13,良师益友,2,6,1,20,13,14,13,3
14,助纣为虐,-2,6,1,20,0,0,0,12
15,救死扶伤,1,3,1,20,15,16,15,3
16,养虎遗患,-1,3,1,20,0,0,0,12
101,偷师窃艺,-5,36,0,5,0,0,0,12
102,窃取财物,-5,36,0,5,0,0,0,12
103,抢劫财物,-5,60,0,5,0,0,0,20
104,掘坟盗墓,-5,60,0,5,0,0,0,20
105,施毒害人,-10,60,0,5,0,0,0,20
106,出手伤人,-10,60,0,10,0,0,0,40
107,拘人害命,-20,240,0,100,0,0,0,30
108,血债难赎,-25,360,0,100,0,0,0,30
109,落荒而逃,-1,6,1,50,0,0,0,12
110,欺凌幼小,-5,12,1,10,0,0,0,24
111,趁人之危,-5,12,1,10,0,0,0,24
112,惩戒恶人,2,6,1,20,0,0,0,6
113,为民除害,3,6,1,20,0,0,0,6
201,比武得胜,3,12,1,10,0,0,0,12
202,比武落败,-3,12,1,10,0,0,0,12
301,宅心仁厚,1,6,1,20,301,302,301,3
302,逢恶导非,-1,6,1,10,0,0,0,12
303,义正辞严,2,6,1,20,303,304,303,3
304,出言不逊,-2,6,1,10,0,0,0,12
305,恣肆無忌,-1,6,1,20,305,306,305,12
306,洒脱不羁,1,6,1,10,0,0,0,3
307,唯利是图,-2,6,1,20,307,308,307,12
308,大快人心,2,6,1,10,0,0,0,3
401,流言蜚语,-3,12,1,20,0,0,0,24
402,软弱可欺,-3,36,0,5,0,0,0,36
403,受人恩惠,-1,36,0,5,0,0,0,36
404,受人斥责,-3,36,0,5,0,0,0,36
405,受人愚弄,-5,36,0,5,0,0,0,36
406,受人胁迫,-10,36,0,5,0,0,0,36
407,受人称赞,2,6,1,10,0,0,0,3
408,受人嘲笑,-2,6,1,10,0,0,0,12
501,是非不分,-2,6,1,10,501,502,0,12
502,嫉恶如仇,2,6,1,10,0,0,0,3
601,前人恩情,25,60,0,1,0,0,0,12
602,前人罪业,-25,60,0,1,0,0,0,12
701,芜行俚语,-5,12,1,10,0,0,0,24
702,行乞讨钱,-3,12,1,20,0,0,0,24
703,庸医害命,-3,12,1,20,0,0,0,24
